Title,Source,Published Date,processed_text,sentiment,sentiment_score,sentiment_label
Stephanie Grace Farewell Teedy a little less Trump and a little more Trumpism and other notes from the year in Carnival satire,The Advocate,2026-02-16T18:30:00Z,stephanie grace farewell teedy little trump little trumpism note year carnival satire,Negative,-0.1875,Negative
Larry Murphy being looked at again after report something buried near his former home in probe into missing Jo Jo Dullard and Deirdre Jacob,Independent.ie,2026-02-16T18:30:00Z,larry murphy look report bury near home probe miss dullard deirdre jacob,Positive,0.1,Positive
Weekly Utd Pod with Muppetiers EP 30,Spotify.com,2026-02-16T18:29:42Z,weekly utd pod muppetier,Neutral,0.0,Neutral
NEW Map Reveals Expansion of Popular TSA PreCheck Perk,allears.net,2026-02-16T18:29:19Z,new map reveal expansion popular tsa precheck perk,Positive,0.36818181818181817,Positive
The Godfather actor Robert Duvall dies at 95 after iconic performances in Apocalypse Now and The Great Santini,Freerepublic.com,2026-02-16T18:28:32Z,godfather actor robert duvall die iconic performance apocalypse great santini,Positive,0.65,Positive
Team USAs Matthew Tkachuk has savage taunt for Oilers Leon Draisaitl in blowout of Germany at Olympics,Sporting News,2026-02-16T18:28:26Z,team usas matthew tkachuk savage taunt oiler leon draisaitl blowout germany olympic,Neutral,0.0,Neutral
Russian Delegation to Arrive in Geneva for Talks on Ukraine on Tuesday Morning  Source,Sputnikglobe.com,2026-02-16T18:27:58Z,russian delegation arrive geneva talk ukraine tuesday morning source,Neutral,0.0,Neutral
Mining the News 21626,Fangraphs.com,2026-02-16T18:27:47Z,mine news,Neutral,0.0,Neutral
Warmth Of Collectivism Didnt Save The 20 New Yorkers Who Froze To Death During Cold Snap,The Daily Caller,2026-02-16T18:27:43Z,warmth collectivism save new yorker freeze death cold snap,Negative,-0.2318181818181818,Negative
Is Disney World Going Bigger  Bolder on Villains Land,Disneytouristblog.com,2026-02-16T18:27:05Z,disney world go big bolder villain land,Neutral,0.0,Neutral
Celtics get great Jayson Tatum update amid AllStars quiet work,Sporting News,2026-02-16T18:26:12Z,celtic great jayson tatum update amid allstar quiet work,Positive,0.4,Positive
The Simpsons May Eventually End But Will Never Have a Series Finale Showrunner Says,IGN,2026-02-16T18:25:54Z,simpson eventually end series finale showrunner say,Neutral,0.0,Neutral
Actual Convicted Terrorist Might Hold Office In European Country He Plotted Against,The Daily Caller,2026-02-16T18:25:42Z,actual convict terrorist hold office european country plot,Neutral,0.0,Neutral
Hochul Mamdani announce 15B for NYC budget ahead of preliminary plan,Gothamist,2026-02-16T18:25:22Z,hochul mamdani announce nyc budget ahead preliminary plan,Neutral,0.0,Neutral
A history of assassination reveals how targeted killings became an extension of state power,The Conversation Africa,2026-02-16T18:25:17Z,history assassination reveal targeted killing extension state power,Neutral,0.0,Neutral
Intels 52Core Nova Lake CPU May Require A Premium Motherboard For Full Power,Hot Hardware,2026-02-16T18:25:00Z,intels nova lake cpu require premium motherboard power,Neutral,0.0,Neutral
Robert Duvall star of The Godfather Apocalypse Now dead at 95,Abcnews.com,2026-02-16T18:24:46Z,robert duvall star godfather apocalypse dead,Negative,-0.2,Negative
If You Can Keep It AI And Our Democracy,NPR,2026-02-16T18:24:41Z,democracy,Neutral,0.0,Neutral
Robert Duvall of The Godfather  Apocalypse Now Dies at 95,Extra,2026-02-16T18:24:26Z,robert duvall godfather apocalypse die,Neutral,0.0,Neutral
50 LowCost Marketing Ideas That Actually Work  crowdspring Blog,Crowdspring.com,2026-02-16T18:24:03Z,lowcost marketing idea actually work crowdspre blog,Neutral,0.0,Neutral
Latest on Nancy Guthrie investigation as search now in third week,CBS News,2026-02-16T18:24:00Z,latest nancy guthrie investigation search week,Positive,0.5,Positive
Injury rumours suggest Kristensens season could be over at Frankfurt,Bulinews.com,2026-02-16T18:24:00Z,injury rumour suggest kristensen season frankfurt,Neutral,0.0,Neutral
NAACP asks judge to limit how feds use Georgia voter data seized by FBI,Fox News,2026-02-16T18:23:58Z,naacp ask judge limit fed use georgia voter datum seize fbi,Neutral,0.0,Neutral
Democrat lawmakers rush to bash Trump even as jobs inflation reports beat projections,Fox News,2026-02-16T18:23:43Z,democrat lawmaker rush bash trump job inflation report beat projection,Neutral,0.0,Neutral
Browns hire a former Falcons coach as their Jim Schwartz replacement,Sporting News,2026-02-16T18:22:54Z,brown hire falcon coach jim schwartz replacement,Neutral,0.0,Neutral
VIDEO Maryland Sheriffs Vow to Defy Democrat Gov Wes Moores Ban on Working with ICE,Breitbart News,2026-02-16T18:22:51Z,video maryland sheriff vow defy democrat gov wes moores ban work ice,Neutral,0.0,Neutral
Omar Slanders Trump semisatire,Freerepublic.com,2026-02-16T18:22:47Z,omar slander trump semisatire,Neutral,0.0,Neutral
